ds_sigla	no_titulo	nu_indice_h	no_estrato
IWEC	International Workshop on Entertainment Computing	12	B1
IWSSIP	International Conference on Systems, Signals and Image Processing	13	B1
KES	International Conference on Knowledge-Based and Intelligent Information & Engineering Systems	13	B1
LATIN	Latin American Symposium on Theoretical Informatics	13	B1
LCN	IEEE Conference on Local Computer Networks	15	B1
LION	Learning and Intelligent Optimization Conference	17	B1
LPNMR	International Conference on Logic Programming and Non-monotonic Reasoning	16	B1
MEDHOCNET	Annual Mediterranean Ad Hoc Networking Workshop	13	B1
MICAI	Mexican International Conference on Artificial Intelligence	13	B1
MICCAI	International Conference on Medical Image Computing and Computer Assisted Intervention	30	B1
MLSP	International Workshop on Machine Learning for Signal Processing	16	B1
MMM	International Conference on Multimedia Modelling	15	B1
MMSP	International Workshop on Multimedia and Signal Processing	17	B1
MOBIQUITOUS	International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services	13	B1
MSWIM	ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems	17	B1
MUM	International Conference on Mobile and Ubiquitous Multimedia	17	B1
MWSCAS	International Midwest Symposium on Circuits and Systems	17	B1
NLDB	International Conference on Application of Natural Language to Information Systems	13	B1
NTMS	IFIP International Conference on New Technologies, Mobility and Security	17	B1
OPODIS	International Conference on Principles of Distributed Systems	13	B1
P2P	International Conference on Peer-to-Peer Computing	18	B1
PACT	International Conference on Parallel Computing Technologies	12	B1
PADS	ACM SIGSIM Conference on Principles of Advanced Discrete Simulation	13	B1
PCS	Picture Coding Symposium	17	B1
PDCAT	International Conference on Parallel and Distributed Computing, Applications and Technologies	12	B1
PETRA	ACM International Conference on PErvasive Technologies Related to Assistive Environments	15	B1
PRDC	Pacific Rim International Symposium on Dependable Computing	12	B1
PST	Annual Conference on Privacy, Security and Trust 	13	B1
QEST	International Conference on Quantitative Evaluation of Systems	18	B1
RANLP	International Conference on Recent Advances in Natural Language Processing 	15	B1
RCIS	International Conference on Research Challenges in Information Science	12	B1
RECONFIG	International Conference on Reconfigurable Computing and FPGAs	15	B1
REFSQ	International Working Conference on Requirements Engineering: Foundations for Software Quality	15	B1
RFID	IEEE International Conference on RFID	17	B1
ROBOCUP	Robocup International Symposium	15	B1
RTCSA	International Conference on Embedded and Real-Time Computing Systems and Applications	16	B1
SAFECOMP	International Conference on Computer Safety, Reliability, and Security	16	B1
SAMOS	International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation	14	B1
SASO	International Conference on Self-Adaptive and Self-Organizing Systems	16	B1
