ds_sigla	no_titulo	no_estrato
CSEDU	International Conference on Computer Supported Education	B1
CSEE&T	Conference on Software Engineering Education and Training	B1
CSNDSP	International Symposium on Communication Systems, Networks and Digital Signal Processing	B1
DAS	International Workshop on Document Analysis Systems	B1
DAWAK	International Conference on Big Data Analytics and Knowledge Discovery	B1
DCC	Data Compression Conference	B1
DDECS	IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems	B1
DEXA	International Conference on Database and Expert Systems Applications	B1
DFT	IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems	B1
DGO	Annual International Conference on Digital Government Research	B1
DOCENG	ACM SIGWEB International Symposium on Document Engineering	B1
DOLAP	International Workshop On Data Warehousing and OLAP	B1
DRCN	International Conference on the Design of Reliable Communication Networks	B1
DSD	Euromicro Conference on Digital System Design	B1
DSRT	IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications	B1
EASE	International Conference on Evaluation and Assessment in Software Engineering	B1
ECAL	European Conference on Artificial Life	B1
ECCTD	European Conference on Circuit Theory and Design	B1
ECMDAFA	European Conference on Modelling Foundations and Applications	B1
ECMS	European Conference on Modelling and Simulation	B1
ECSA	European Conference on Software Architecture	B1
ECSQARU	European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty	B1
ECTEL	European Conference on Technology Enhanced Learning	B1
EGOV	International Conference on Electronic Government	B1
EMBC	Annual International Conference of the IEEE Engineering in Medicine and Biology Society	B1
EMO	International Conference on Evolutionary Multi-Criterion Optimization	B1
EPIA	Portuguese Conference on Artificial Intelligence	B1
ER	International Conference on Conceptual Modeling	B1
ESANN	European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	B1
ESCIENCE	IEEE International Conference on e-Science	B1
ETS	IEEE European Test Symposium	B1
EuroGP	European Conference on Genetic Programming	B1
EUROITV	European Conference on Interactive TV and Video	B1
EUROMICRO	Euromicro Conference on Software Engineering and Advanced Applications	B1
EuroSPI	European Conference on Software Process Improvement	B1
EUSFLAT	Conference of the European Society for Fuzzy Logic and Technology	B1
EVOAPPLICATIONS	European Conference on the Applications of Evolutionary Computation	B1
EVOCOP	European Conference on Evolutionary Computation in Combinatorial Optimization	B1
EWSDN	European Workshop on Software Defined Networks	B1
FEDCSIS	Federated Conference on Computer Science and Information Systems	B1
FIE	IEEE Frontiers in Education Conference	B1
FLAIRS	International Florida Artificial Intelligence Conference	B1
FSKD	International Conference on Fuzzy Systems and Knowledge Discovery	B1
FSTTCS	Annual Conference on Foundations of Software Technology and Theoretical Computer Science	B1
FUZZIEEE	IEEE International Conference on Fuzzy Systems	B1
GI	Graphics Interface Conference	B1
GLOBALSIP	Global Conference on Signal and Information Processing	B1
GLVLSI	ACM Great Lakes Symposium on VLSI	B1
GRAPP	International Conference on Computer Graphics Theory and Applications	B1
HAIS	International Conference on Hybrid Artificial Intelligence Systems	B1
HASE	IEEE International Symposium on High Assurance Systems Engineering	B1
HCOMP	Conference on Human Computation and Crowdsourcing	B1
HIPC	IEEE International Conference on High Performance Computing	B1
HOST	IEEE International Symposium on Hardware Oriented Security and Trust	B1
HPCS	International Conference on High Performance Computing & Simulation	B1
HVC	International Haifa Verification Conference	B1
IAT	IEEE/WIC/ACM International Conference on Intelligent Agent Technology	B1
ICA3PP	International Conference on Algorithms and Architectures for Parallel Processing	B1
ICAART	International Conference on Agents and Artificial Intelligence	B1
ICALT	IEEE International Conference on Advanced Learning Technologies	B1
ICANN	International Conference on Artificial Neural Networks	B1
ICAR	International Conference on Advanced Robotics	B1
ICARV	International Conference on Control, Automation, Robotics and Vision	B1
ICCA	IEEE International Conference on Control and Automation	B1
ICCP	IEEE International Conference on Intelligent Computer Communication and Processing	B1
ICCSA	International Conference on Computational Science and Its Applications	B1
ICDSP	IEEE International Conference on Digital Signal Processing	B1
ICEBE	IEEE International Conference on e-Business Engineering	B1
ICEC	IFIP International Conference on Entertainment Computing	B1
ICECCS	International Conference on Engineering of Complex Computer	B1
ICECS	IEEE International Conference on Electronics, Circuits and Systems	B1
ICFEM	International Conference on Formal Engineering Methods	B1
ICFHR	International Conference on Frontiers in Handwriting Recognition	B1
ICGSE	IEEE International Conference on Global Software Engineering	B1
ICIAP	International Conference on Image Analysis and Processing	B1
ICIAR	International Conference on Image Analysis and Recognition	B1
ICIC	International Conference on Intelligent Computing	B1
ICISS	International Conference on Information Systems Security	B1
ICITST	International Conference for Internet Technology and Secured Transactions	B1
ICLP	International Conference on Logic Programming	B1
ICM	International Conference on Microelectronics	B1
ICMC	International Computer Music Conference	B1
ICMLA	IEEE International Conference on Machine Learning and Applications	B1
ICNC	IInternational Conference on Natural Computation	B1
ICNSC	IEEE International Conference on Networking, Sensing and Control	B1
ICOIN	International Conference on Information Networking	B1
ICONIP	International Conference on Neural Information Processing	B1
ICSC	International Conference on Semantic Computing	B1
ICSI	International Conference on Swarm Intelligence	B1
ICSOB	International Conference on Software Business	B1
ICSOFT	International Conference on Software and Data Technologies	B1
ICST	International Conference on Sensing Technology	B1
ICT	International Conference on Telecommunications	B1
ICTAI	IEEE International Conference on Tools with Artificial Intelligence	B1
ICVS	International Conference on Computer Vision Systems	B1
ICWE	International Conference on Web Engineering	B1
IECON	Annual Conference of the IEEE Industrial Electronics Society	B1
IEEEANTS	IEEE International Conference on Advanced Networks and Telecommuncations Systems	B1
IFAC	World Congress of the International Federation of Automatic Control	B1
IIWAS	International Conference on Information Integration and Web-based Applications & Services	B1
INCOS	International Conference on Intelligent Networking and Collaborative Systems	B1
INDIN	IEEE International Conference on Industrial Informatics	B1
IOLTS	IEEE International On-Line Testing Symposium	B1
